sector,tessFile,curveID,tcorr,correlation,rp,i,width,u,ld,t0,e,w
sample_Sector0,HD_1397_b.fits,curve10,1343.6182235376546,0.7999744306086787,0.1,90.0,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve11,1343.6182235376546,0.8006852821628266,0.1,82.09858589779962,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve12,1343.6182235376546,0.8027917738459865,0.1,74.19717179559923,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve13,1343.6182235376546,0.8062013266250712,0.1,66.29575769339884,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve14,1343.6182235376546,0.8107330394832984,0.1,58.39434359119847,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve15,1343.6182235376546,0.8161128286959713,0.1,50.4929294889981,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve16,1343.6168346502263,0.8225932475782873,0.1,42.59151538679771,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve17,1343.6210013129755,0.8295629114804595,0.1,34.69010128459733,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve18,1343.6237790880632,0.8340344767942586,0.1,26.78868718239694,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve19,1332.0820732657105,0.8400924956779167,0.1,18.887273080196568,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve20,1343.6182235376546,0.8126326101868142,0.1,90.0,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve21,1343.6182235376546,0.8131714327253119,0.1,82.89211334246801,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve22,1343.6182235376546,0.8147585926637324,0.1,75.78422668493597,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve23,1343.6182235376546,0.8172783898662388,0.1,68.67634002740397,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve24,1343.6182235376546,0.8205354644781564,0.1,61.56845336987195,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve25,1343.6182235376546,0.8242930654445819,0.1,54.46056671233993,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve26,1343.6168346502263,0.8288140738903664,0.1,47.35268005480794,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve27,1332.0820732657105,0.8349211280044689,0.1,40.24479339727592,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve28,1332.0820732657105,0.840053795650636,0.1,33.13690673974391,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve29,1343.6418346264845,0.8475133566406416,0.1,26.02902008221189,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve30,1343.6182235376546,0.8205872033644428,0.1,90.0,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve31,1343.6182235376546,0.8209536491218397,0.1,83.42786876391494,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve32,1343.6182235376546,0.8220097638948337,0.1,76.85573752782986,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve33,1343.6182235376546,0.8236451623926105,0.1,70.28360629174477,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve34,1343.6182235376546,0.8256942403154466,0.1,63.71147505565971,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve35,1343.615445762566,0.8281385275279279,0.1,57.13934381957464,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve36,1332.080684361463,0.8319027657596586,0.1,50.56721258348957,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve37,1332.0820732657105,0.8384169562662673,0.1,43.995081347404486,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve38,1332.0820732657105,0.8435402582174079,0.1,37.42295011131942,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve39,1343.6460012892321,0.8531892390085197,0.1,30.850818875234356,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0
sample_Sector0,HD_1397_b.fits,curve40,1343.6182235376546,0.8248116246903363,0.1,90.0,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0
