sector,tessFile,curveID,tcorr,correlation
sample_Sector0,HD_1397_b.fits,curve10,1343.6182235376543,0.7999744304680599
sample_Sector0,HD_1397_b.fits,curve11,1343.6182235376543,0.8006852820219397
sample_Sector0,HD_1397_b.fits,curve12,1343.6182235376543,0.802791773704576
sample_Sector0,HD_1397_b.fits,curve13,1343.6182235376543,0.8062013264827674
sample_Sector0,HD_1397_b.fits,curve14,1343.6182235376543,0.810733039338727
sample_Sector0,HD_1397_b.fits,curve15,1343.6182235376543,0.8161128285432881
sample_Sector0,HD_1397_b.fits,curve16,1343.6168346502266,0.8225932474106294
sample_Sector0,HD_1397_b.fits,curve17,1343.6210013129755,0.8295629113244823
sample_Sector0,HD_1397_b.fits,curve18,1343.6237790880632,0.8340344766482655
sample_Sector0,HD_1397_b.fits,curve19,1332.0820732657103,0.8400924953591105
sample_Sector0,HD_1397_b.fits,curve20,1343.6182235376543,0.8126326100410496
sample_Sector0,HD_1397_b.fits,curve21,1343.6182235376543,0.8131714325795115
sample_Sector0,HD_1397_b.fits,curve22,1343.6182235376543,0.8147585925177182
sample_Sector0,HD_1397_b.fits,curve23,1343.6182235376543,0.8172783897198951
sample_Sector0,HD_1397_b.fits,curve24,1343.6182235376543,0.8205354643284825
sample_Sector0,HD_1397_b.fits,curve25,1343.6182235376543,0.8242930652868551
sample_Sector0,HD_1397_b.fits,curve26,1343.6168346502266,0.8288140737178628
sample_Sector0,HD_1397_b.fits,curve27,1332.0820732657103,0.8349211276975141
sample_Sector0,HD_1397_b.fits,curve28,1332.0820732657103,0.8400537953322927
sample_Sector0,HD_1397_b.fits,curve29,1343.6418346264845,0.8475133565823512
sample_Sector0,HD_1397_b.fits,curve30,1343.6182235376543,0.8205872032196541
sample_Sector0,HD_1397_b.fits,curve31,1343.6182235376543,0.8209536489769477
sample_Sector0,HD_1397_b.fits,curve32,1343.6182235376543,0.8220097637491893
sample_Sector0,HD_1397_b.fits,curve33,1343.6182235376543,0.823645162244468
sample_Sector0,HD_1397_b.fits,curve34,1343.6182235376543,0.8256942401606874
sample_Sector0,HD_1397_b.fits,curve35,1343.615445762566,0.8281385273504784
sample_Sector0,HD_1397_b.fits,curve36,1332.080684361463,0.8319027654506842
sample_Sector0,HD_1397_b.fits,curve37,1332.0820732657103,0.8384169559545516
sample_Sector0,HD_1397_b.fits,curve38,1332.0820732657103,0.8435402578917099
sample_Sector0,HD_1397_b.fits,curve39,1343.646001289232,0.8531892389762578
sample_Sector0,HD_1397_b.fits,curve40,1343.6182235376543,0.824811624543332
