sector,tessFile,curveID,tcorr,correlation,rp,i,width,u,ld,t0,e,w,reducedChiSq
sample_Sector0,HD_1397_b.fits,curve10,1343.6182235376546,0.7999744304680599,0.1,90.0,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28869.118192001406
sample_Sector0,HD_1397_b.fits,curve11,1343.6182235376546,0.8006852820219397,0.1,82.09858589779962,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28867.12239477889
sample_Sector0,HD_1397_b.fits,curve12,1343.6182235376546,0.8027917737045759,0.1,74.19717179559923,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28861.25051594821
sample_Sector0,HD_1397_b.fits,curve13,1343.6182235376546,0.8062013264827674,0.1,66.29575769339884,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28851.84826625213
sample_Sector0,HD_1397_b.fits,curve14,1343.6182235376546,0.810733039338727,0.1,58.39434359119847,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28839.493743431765
sample_Sector0,HD_1397_b.fits,curve15,1343.6182235376546,0.8161128285432881,0.1,50.4929294889981,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28824.992212463963
sample_Sector0,HD_1397_b.fits,curve16,1343.6168346502263,0.8225932474106294,0.1,42.59151538679771,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28812.40130543794
sample_Sector0,HD_1397_b.fits,curve17,1343.6210013129755,0.8295629113244823,0.1,34.69010128459733,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28787.66892582146
sample_Sector0,HD_1397_b.fits,curve18,1343.6237790880632,0.8340344766482655,0.1,26.78868718239694,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28767.68692379644
sample_Sector0,HD_1397_b.fits,curve19,1332.0820732657105,0.8400924953591105,0.1,18.887273080196568,0.00014069409234469308,0.1 0.3,quadratic,0.0,0.0,0.0,28921.286964542905
sample_Sector0,HD_1397_b.fits,curve20,1343.6182235376546,0.8126326100410496,0.1,90.0,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28858.481193917072
sample_Sector0,HD_1397_b.fits,curve21,1343.6182235376546,0.8131714325795115,0.1,82.89211334246801,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28856.73174770607
sample_Sector0,HD_1397_b.fits,curve22,1343.6182235376546,0.8147585925177182,0.1,75.78422668493597,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28851.56345442216
sample_Sector0,HD_1397_b.fits,curve23,1343.6182235376546,0.8172783897198951,0.1,68.67634002740397,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28843.215940325303
sample_Sector0,HD_1397_b.fits,curve24,1343.6182235376546,0.8205354643284825,0.1,61.56845336987195,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28832.09173048263
sample_Sector0,HD_1397_b.fits,curve25,1343.6182235376546,0.8242930652868551,0.1,54.46056671233993,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28818.757111240786
sample_Sector0,HD_1397_b.fits,curve26,1343.6168346502263,0.8288140737178628,0.1,47.35268005480794,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28806.98149895698
sample_Sector0,HD_1397_b.fits,curve27,1332.0820732657105,0.8349211276975141,0.1,40.24479339727592,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28942.26046316593
sample_Sector0,HD_1397_b.fits,curve28,1332.0820732657105,0.8400537953322927,0.1,33.13690673974391,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28927.091865827755
sample_Sector0,HD_1397_b.fits,curve29,1343.6418346264845,0.8475133565823512,0.1,26.02902008221189,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,28682.98194809937
sample_Sector0,HD_1397_b.fits,curve30,1343.6182235376546,0.8205872032196541,0.1,90.0,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28846.871911868613
sample_Sector0,HD_1397_b.fits,curve31,1343.6182235376546,0.8209536489769477,0.1,83.42786876391494,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28845.251816973498
sample_Sector0,HD_1397_b.fits,curve32,1343.6182235376546,0.8220097637491893,0.1,76.85573752782986,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28840.453296647484
sample_Sector0,HD_1397_b.fits,curve33,1343.6182235376546,0.823645162244468,0.1,70.28360629174477,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28832.661292878372
sample_Sector0,HD_1397_b.fits,curve34,1343.6182235376546,0.8256942401606874,0.1,63.71147505565971,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28822.18753231817
sample_Sector0,HD_1397_b.fits,curve35,1343.615445762566,0.8281385273504784,0.1,57.13934381957464,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28815.503037636932
sample_Sector0,HD_1397_b.fits,curve36,1332.080684361463,0.8319027654506842,0.1,50.56721258348957,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28951.762501076664
sample_Sector0,HD_1397_b.fits,curve37,1332.0820732657105,0.8384169559545516,0.1,43.995081347404486,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28933.41448173731
sample_Sector0,HD_1397_b.fits,curve38,1332.0820732657105,0.8435402578917099,0.1,37.42295011131942,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28917.80992318223
sample_Sector0,HD_1397_b.fits,curve39,1343.6460012892321,0.8531892389762578,0.1,30.850818875234356,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,28663.629988436624
sample_Sector0,HD_1397_b.fits,curve40,1343.6182235376546,0.824811624543332,0.1,90.0,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28834.189608498917
sample_Sector0,HD_1397_b.fits,curve41,1343.6182235376546,0.8250393875169709,0.1,83.85502372666711,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28832.65506621322
sample_Sector0,HD_1397_b.fits,curve42,1343.6168346502263,0.825714369105896,0.1,77.71004745333424,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28831.14683041755
sample_Sector0,HD_1397_b.fits,curve43,1343.6168346502263,0.8268086327318906,0.1,71.56507118000133,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28823.72198412486
sample_Sector0,HD_1397_b.fits,curve44,1343.6140568749056,0.8283043271038778,0.1,65.42009490666844,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28819.675922584996
sample_Sector0,HD_1397_b.fits,curve45,1343.6112790998186,0.8304347796349092,0.1,59.275118633335545,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28817.446874000816
sample_Sector0,HD_1397_b.fits,curve46,1332.0792954572162,0.8352636415918822,0.1,53.13014236000266,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28943.75881533958
sample_Sector0,HD_1397_b.fits,curve47,1332.0820732657105,0.8411244438926586,0.1,46.98516608666977,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28922.506565954864
sample_Sector0,HD_1397_b.fits,curve48,1343.6418346264845,0.8461737661238571,0.1,40.84018981333689,0.00019638280019297695,0.1 0.3,quadratic,0.0,0.0,0.0,28676.571629074526
